BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
SOHAWAL,Cereals,2022-09-24T15:09:36.3,"Paddy (Dhan)",FAIZABAD,2723446,"श्री मान जी आप धान में 30 किलोग्राम यूरिया और 10 किलोग्राम  सागरिका / एकर विखेर कर देना है .
","Provide about information of growth problem in Paddy crop...?
","Fertilizer Use and Availability",NA,AGRICULTURE,"UTTAR PRADESH",24,9,2022
MADNAPUR,Oilseeds,2022-09-24T15:14:01.703,Mustard,SHAHJAHANPUR,2723628,"सरसों की बुवाई का उपयुक्त समय अक्टूबर का प्रथम सप्ताह होता है |","sowing time of mustard ?","Sowing Time and Weather",NA,AGRICULTURE,"UTTAR PRADESH",24,9,2022
JAGNER,Oilseeds,2022-09-24T15:15:23.51,Mustard,AGRA,2723799,"श्रीमान जी 24 से 29 सितंबर तक बादल छाए रहेंगे बूंदाबांदी,हल्की बारिश की संभावना बनी हुई है आज का न्यूनतम तापमान 25 डिग्री सेल्सियस और अधिकतम तापमान 28 डिग्री सेल्सियस है हवा की गति 4 से 14 किलोमीटर प्रति घंटा चलने की संभावना है मौसम के अनुसार कृषि कार्य करें |","Information about weather forecast of Block -Jagner in District-Agra?",Weather,NA,AGRICULTURE,"UTTAR PRADESH",24,9,2022
MADNAPUR,Oilseeds,2022-09-24T15:15:42.107,Mustard,SHAHJAHANPUR,2723629,"सरसों की उपयुक्त प्रजातियाँ निम्न प्रकार है :-आशीर्वाद,माया,रोहिणी,एनडीआर-8501 इत्यादि|","mustard variety information?",Varieties,NA,AGRICULTURE,"UTTAR PRADESH",24,9,2022
LONI,"Condiments and Spices",2022-09-24T15:16:18,"Methi (Fenugreek)",GHAZIABAD,2723110," 
एक एकड़ खेत में बिजाई के लिए 12 किलोग्राम प्रति एकड़ बीजों का प्रयोग करें। Sowing Time : October - November. Season : Rabi
Seed Rate : 30-40 kg/ha.Spacing : 30 x 10 cm.
 
"," asked about to mathi seed rate related information ?","Market Information",NA,HORTICULTURE,"UTTAR PRADESH",24,9,2022
BASREHAR,Cereals,2022-09-24T15:16:35.363,"Paddy (Dhan)",ETAWAH,2723250," श्रीमान जी 24 सितंबर से 29 सितंबर  के बीच हल्के बादल और हल्की बूंदाबांदी बने रहने की संभावना है आज का न्यूनतम तापमान 26 ° C अधिकतम तापमान 30°C और हवा की गति 7 किलोमीटर से लेकर 11 किलोमीटर प्रति घंटे रहने की संभावना है मौसम के अनुसार कृषि कार्य करें।","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",24,9,2022
"MAYA BAZAR",Cereals,2022-09-25T10:05:10.463,"Paddy (Dhan)",FAIZABAD,2726672,"महोदय जी कॉपर ऑक्सिक्लोराइड 50%WP की 500 ग्राम मात्रा+Streptocycline Sulphate: 90% w/w
Tetracycline Hydrochloride: 10% w/w 12 ग्राम मात्रा प्रति एकड़ 200 लीटर पानी की दर से घोल बनाकर स्प्रे करें |
","Information about  Bacterial leaf blight management in paddy crop

","	Plant Protection	",NA,AGRICULTURE,"UTTAR PRADESH",25,9,2022
SAURIKH,Vegetables,2022-09-25T10:05:27.077,Potato,KANNAUJ,2726658,"महोदय,आप कार्बोक्सिन 37.5%+ थीरम 37.5% 2.5 ग्राम/लीटर पानी में घोल कर स्प्रे करे
","Information about Fungus control of Potato   ?
","Cultural Practices",NA,HORTICULTURE,"UTTAR PRADESH",25,9,2022
KAMALGANJ,Vegetables,2022-09-25T10:09:47.253,Potato,FARRUKHABAD,2726693,"महोदय आपके  यहाँ  25 सितम्बर –  30 सितम्बर  तक  जानकारी दे रहे है|,जिसमे आपके  यहाँ  25,26,27,28,29,30  सितम्बर  को  हल्की बूंदा -बांदी होने  की  संभावना  है|,लेकिन  आंशिक  रूप  से  बादल  छाये  रहेंगे|,आज  का  आपेक्षित  अधिकतम  तापमान  ( 31°C  और  न्यूनतम  तापमान  26°C और  हवा  की  गति  04-15 किलोमीटर  / घंटा  ) चलने  की  संभावना  है| ,और आप मौसम के अनुसार कृषि कार्य को  करे|
","Farmer asked query on Weather",Weather,NA,HORTICULTURE,"UTTAR PRADESH",25,9,2022
REUSA,Others,2022-09-25T10:11:49.45,Others,SITAPUR,2726698,"महोदय 25-30 सितंबर के बीचआंशिक रूप से बादल छाए रहेंगे जिसमे आपके यहाँ पूरे सप्ताह में छिट-पुट बूंदा बांदी होने की संभावना है | आज का न्यूनतम तापमान 25 डिग्री सेल्सियस और अधिकतम तापमान 29 डिग्री सेल्सियस है और हवा की गति 4-7 किमी/घंटा होने की संभावना है।मौसम के अनुसार कृषि कार्य करें |","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",25,9,2022
VIDHUNU,Oilseeds,2022-09-25T10:18:50.227,Mustard,"KANPUR CITY",2727485," महोदय जी-25 सितंबर से 30 सितंबर तक हल्की बूंदाबांदी की संभावना है,अधिकतम तापमान 30 डिग्री सेल्सियस न्यूनतम तापमान 25 डिग्री सेल्सियस रहने की संभावना है, हवा की गति 7 से 11 किलोमीटर प्रति घंटा की रफ्तार से चलने की संभावना है, मौसम के पूर्वानुमान के अनुसार कार्य करें |
 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",25,9,2022
MAJHGAWAN,Cereals,2022-09-25T10:22:18.847,"Paddy (Dhan)",BAREILLY,2727458,"श्रीमान जी 25, 26, 27 और 29 सितंबर को हल्की- बूंदाबांदी होने की संभावना है, आंशिक रूप से बादल बने हुए हैं| आज का न्यूनतम तापमान 25°C एवं अधिकतम तापमान 30°C तथा हवा की गति 7 से 11 किमी. प्रति घंटा रहने की संभावना है| मौसम के अनुसार कृषि कार्य को करें|","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",25,9,2022
AMARIYA,Cereals,2022-09-25T10:24:11.963,"Paddy (Dhan)",PILIBHIT,2727443,"श्रीमान जी, 25 सितंबर से 30 सितंबर के बीच हल्की बूंदाबांदी होने की संभावना है, आंशिक रूप से बादल छाए रहेंगे |आज का न्यूनतम तापमान 28 °C और अधिकतम तापमान 30 °C एवं हवा की गति 4 से 11  किलोमीटर प्रति घंटा रहने की संभावना है| मौसम के अनुसार कृषि कार्य को करें
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",25,9,2022
PAHALA,Cereals,2022-09-25T10:24:40.323,"Paddy (Dhan)",SITAPUR,2727457,"श्रीमान जी 25 सितंबर  से 30 सितंबर तक मौसम में बादल हैं इन्हीं बादलों के साथ 25 सितंबर और 26 सितंबर में  0.5 मिली मीटर से 3 मिली मीटर तक बारिश होने की संभावना है आज का न्यूनतम तापमान 26 डिग्री सेंटीग्रेड और अधिकतम तापमान 29 डिग्री सेंटीग्रेड हवा की गति 7-11 किलोमीटर प्रति घंटा है मौसम को देखकर कृषि कार्य करें .","Farmer asked query on Weather",Weather,NA,AGRICULTURE,"UTTAR PRADESH",25,9,2022
