BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
CHALLAKERE,Others,2024-07-01T09:23:24.607,Others,CHITRADURGA,1602405,"ಅಗತ್ಯ ಮಾಹಿತಿ ನೀಡಲಾಗಿದ್ದು, ಆರ್‌ಎಸ್‌ಕೆ ಅಥವಾ ಕೃಷಿ ಇಲಾಖೆಯನ್ನು ಸಂಪರ್ಕಿಸಲು ಸೂಚಿಸಲಾಗಿದೆ
","Asked about PM Fasal Bima Yojana
","Government Schemes",NA,AGRICULTURE,KARNATAKA,1,7,2024
HIRIYUR,Others,2024-07-01T13:49:38.71,Others,CHITRADURGA,1602155,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ(10%). ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,1,7,2024
HOSDURGA,Others,2024-07-01T15:39:01.777,Others,CHITRADURGA,1602092,"ARSIKERE	01/07/2024	Tomato	8	2000	2000	2000
BAGEPALLI	29/06/2024	Tomato	137	769	4231	1923
BANGARPET	29/06/2024	Tomato	25	5000	6000	5500
BELAGAVI	29/06/2024	Tomato	11	5500	6000	5800
BINNY MILL (F&V)	01/07/2024	Tomato	376	4000	4400	4200","Asked about market rate of TOMATO
","Market Information",NA,AGRICULTURE,KARNATAKA,1,7,2024
HOLALKERE,Others,2024-07-01T18:31:07.433,Others,CHITRADURGA,1602227,"Given necessary information.
","Asked about PM KISAN SAMMAN NIDHI SCHEME
","Government Schemes",NA,AGRICULTURE,KARNATAKA,1,7,2024
HOSDURGA,Others,2024-07-02T09:23:30.85,Others,CHITRADURGA,1615298,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ(20%). ಭಾಗಶ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ . ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433  
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,7,2024
CHALLAKERE,Others,2024-07-02T11:56:34.617,Others,CHITRADURGA,1615188,"ಆಗತ್ಯವಾದ ಮಾಹಿತಿ ನೀಡಲಾಗಿದೆ.ತಾಲೂಕಿನ ಸಹಾಯಕ ಕೃಷಿ ನಿರ್ದೇಶಕರ ಕಚೇರಿಯನ್ನು ಸಂಪರ್ಕಿಸಲು ಸೂಚಿಸಲಾಗಿರುತ್ತದೆ.
","Asked about PM KISAN   
","Government Schemes",NA,AGRICULTURE,KARNATAKA,2,7,2024
HOSDURGA,Others,2024-07-02T15:59:02.75,Others,CHITRADURGA,1615070,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ(20%). ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,2,7,2024
CHALLAKERE,Others,2024-07-02T16:37:50.457,Others,CHITRADURGA,1615334,"ಅಗತ್ಯ ಮಾಹಿತಿ ನೀಡಿ ಹತ್ತಿರದ ರೈತ ಸಂಪರ್ಕ ಕೇಂದ್ರಕ್ಕೆ ಭೇಟಿ ನೀಡಲು ಸೂಚಿಸಲಾಗಿದೆ
","Asked about PM KISAN Scheme    
","Government Schemes",NA,AGRICULTURE,KARNATAKA,2,7,2024
HOSDURGA,Others,2024-07-03T13:25:04.287,Others,CHITRADURGA,1627968,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ತುಂತುರು ಮಳೆ ಯಾಗುವ ಸಾಧ್ಯತೆಗಳಿವೆ (40%). ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,3,7,2024
MOLAKALMURU,Vegetables,2024-07-03T14:18:22.34,Chillies,CHITRADURGA,1628393,"Suggested to drench copper oxychloride @  1 gm per ltr. ","Asked about plant protection in chilly.
","	Plant Protection	",NA,HORTICULTURE,KARNATAKA,3,7,2024
